merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Cash Withdrawal,no,10000,Cash,,,,
Pet Plan Ltd,no,157,Bills,,Insurance,,
Roadchef,no,135,Travel,,,,
Red Lion,no,129,Drinks,,,,
Severn Trent,no,129,Bills,Housing,Utilities,,
Hastings Direct,no,122,Bills,,Insurance,,
Rontec,no,122,Travel,Transport,,,
Animal Healthcare,no,114,Bills,,Insurance,,
Postcode Lottery,no,108,Expenses,Investments,Gambling,,
Yorkshire Water,no,103,Bills,Housing,Utilities,,
All Bar One,no,101,Drinks,Leisure,,,
RateSetter,no,96,Investments,Expenses,,,
Nexus Travel Shop,no,84,Travel,,,,
British Gas Energy,no,83,Bills,Housing,Utilities,,
Franco Manca,no,83,EatingOut,,,,
Betway,no,81,Expenses,Investments,Gambling,,
Avios,no,79,Shopping,,,,
Heron Foods,no,78,Groceries,,,,
Lothian Buses,no,74,Transport,Travel,,,
Turtle Bay,no,74,EatingOut,,,,
Goldman Sachs,no,70,Investments,,,,
Fatsoma,no,68,Leisure,,,,
JustPark,no,68,Transport,Travel,,,
Awork.co.uk,no,63,Bills,,,,
Southern Water,no,63,Bills,Housing,Utilities,,
PRYZM,no,62,Leisure,,,,
Reading Buses,no,61,Transport,Travel,,,
McColl's,no,60,Groceries,,,,
Puccino's,no,57,Coffee,,,,
Wahaca,no,53,EatingOut,,,,
Liberty,no,52,Shopping,,,,
Milk&More,no,52,Groceries,,,,
Deloitte,no,50,Investments,,,,
Smarkets,no,49,Expenses,Investments,Gambling,,
Tramlink,no,44,Transport,,,,
Amigo Loans,no,42,Expenses,,Loans,,
Levy Restaurants,no,42,EatingOut,,,,
HM Passport Office,no,41,Expenses,,,,
Hotels.com,no,41,Travel,,,,
Tim Hortons,no,41,EatingOut,,,,
Victoria's Secret,no,41,Shopping,,,,
Remittance,no,40,Other,,,,
Origin.com,no,38,Leisure,,Gaming,,
ClassPass,no,37,PersonalCare,Leisure,Gym,,
Dishoom,no,37,EatingOut,,,,
Birchbox,no,36,PersonalCare,Shopping,Beauty,,
Cosy Club,no,36,EatingOut,,,,
Soho House,no,36,Leisure,Travel,,,
Fish & Chips,no,35,EatingOut,,,,
Mercedes-Benz,no,34,Transport,,,,
Pitcher & Piano,no,34,Drinks,,,,
TM Lewin,no,34,Shopping,,,,
Toby Carvery,no,34,EatingOut,,,,
Chop'd,no,33,Lunch,,,,
Gymbox,no,33,PersonalCare,Leisure,Gym,,
The White Company,no,33,Shopping,,,,
Premier Vet Alliance,no,32,Expenses,,Pets,,
School Gateway,no,32,Education,,,,
The Alchemist,no,32,Drinks,,,,
Aroma,no,31,EatingOut,,,,
Alton Towers,no,30,Leisure,,,,
Hxpayments.Com,no,30,Travel,,,,
South West Water,no,30,Bills,Housing,Utilities,,
THE BREAKFAST CLUB,no,30,EatingOut,,,,
Chicken Cottage,no,28,EatingOut,,,,
Emirates,no,28,Travel,,,,
Forester Life,no,28,Investments,Expenses,,,
Adrian Flux,no,26,Bills,,Insurance,,
Hallmark,no,26,Shopping,,Stationary,,
Novotel,no,26,Travel,,,,
Space NK,no,26,PersonalCare,Shopping,Beauty,,
Fit4less,no,25,PersonalCare,,Gym,,
NewDay Ltd,no,25,Expenses,Bills,Credit Card,,
Smiggle,no,25,Shopping,,,,
THE VICTORIA,no,25,Drinks,,,,
Winter Wonderland,no,25,Leisure,,,,
GYMSHARK,no,23,PersonalCare,,Gym,,
Parkingeye Ltd,no,23,Transport,,,,
Pilpel,no,23,Lunch,,,,
Medirest,no,22,PersonalCare,Expenses,,,
Blackwell,no,21,Shopping,,Books,,
CrossFit,no,21,PersonalCare,,Gym,,
SheIn.com,no,21,Shopping,,,,
The White Hart,no,21,Drinks,,,,
Vapiano,no,21,EatingOut,,,,
Accord Mortgages,no,20,Housing,Expenses,,,
Burton Retail,no,20,Shopping,,,,
Gumtree,no,20,Bills,,,,
MyHermes,no,20,Expenses,,,,
Revolucion De Cuba,no,20,EatingOut,,,,
Trentbarton,no,20,Transport,,,,
The Corner,no,19,EatingOut,,,,
Atos,no,17,Bills,,,,
Clas Ohlson,no,17,Shopping,,,,
Funding Circle,no,17,Investments,,,,
Heathrow Airport,no,17,Travel,,,,
Shoreditch House,no,17,Leisure,,,,
Southbank Centre,no,17,Leisure,,,,
The Refinery,no,17,PersonalCare,,,,
Wiltshire Council,no,17,Bills,,,,
Ace Hotel,no,16,EatingOut,Drinks,,,
Benito's Hat,no,16,EatingOut,,,,
Ed's Easy Diner,no,16,EatingOut,,,,
Hard Rock,no,16,EatingOut,,,,
Rolls-Royce,no,16,Transport,,,,
The Chequers,no,16,Drinks,EatingOut,,,
The Ship Inn,no,16,Drinks,EatingOut,,,
The Tanning Shop,no,16,PersonalCare,,,,
Touchwood,no,16,Shopping,,,,
WWE Network,no,16,Bills,Leisure,,,
Brickwood,no,15,EatingOut,,,,
Caversham,no,15,Expenses,,,,
German Doner Kebab,no,15,EatingOut,,,,
Giggling Squid,no,15,EatingOut,,,,
Hare & Hounds,no,15,Drinks,EatingOut,,,
InsureandGo,no,15,Expenses,,Insurance,,
Jagex.com,no,15,Leisure,,,,
Marquis of Granby,no,15,Drinks,EatingOut,,,
Pets Corner,no,15,Expenses,,Pets,,
SimplyCook,no,15,Groceries,,,,
The Windmill,no,15,Drinks,EatingOut,,,
WorldRemit Ltd,no,15,Expenses,,,,
Anthropologie,no,14,Shopping,,,,
Audi,no,14,Transport,,,,
DUKE OF YORK,no,14,Drinks,EatingOut,,,
Estee Lauder,no,14,PersonalCare,,,,
Founders Arms,no,14,Drinks,EatingOut,,,
HUGO BOSS,no,14,Shopping,,,,
Imperial College London,no,14,Education,,,,
Lamb & Flag,no,14,Drinks,EatingOut,,,
Motor Fuel Ltd,no,14,Transport,,,,
Nags Head,no,14,Drinks,EatingOut,,,
Poundbakery,no,14,Groceries,,,,
The Albion,no,14,Drinks,EatingOut,,,
The Lighterman,no,14,Drinks,EatingOut,,,
Uinsure,no,14,Expenses,,Insurance,,
Victoria Car Park,no,14,Transport,,,,
Deciem,no,13,PersonalCare,Shopping,,,
Eagle London,no,13,Drinks,EatingOut,,,
Freedom Leisure,no,13,PersonalCare,,Gym,,
Harbour & Jones,no,13,Expenses,,,,
HomeLet,no,13,Housing,,,,
Iberica,no,13,EatingOut,,,,
Mbi-ProbIller.com,no,13,Expenses,,,,
Nissan,no,13,Transport,,,,
PG Group,no,13,Housing,,,,
The Anchor,no,13,Drinks,EatingOut,,,
The Porterhouse,no,13,Drinks,EatingOut,,,
Three Crowns,no,13,Drinks,EatingOut,,,
TL&GN RAILWAY,no,13,Travel,,,,
Trespass,no,13,Shopping,,,,
ALL IN ONE,no,12,Shopping,,,,
Bayley & Sage,no,12,Groceries,,,,
Makro,no,12,Groceries,,,,
Merseytravel,no,12,Travel,,,,
Spudulike,no,12,EatingOut,,,,
UCAS,no,12,Education,,,,
AO Retail Limited,no,11,Shopping,,,,
Aston Martin,no,11,Transport,,,,
BH Live,no,11,PersonalCare,,Gym,,
Bierschenke,no,11,Drinks,,,,
Clinton Cards,no,11,Expenses,,Stationary,,
Dditservices.com,no,11,Expenses,,,,
DHL Express,no,11,Expenses,,,,
Fish'n'Chick'n,no,11,EatingOut,,,,
Katzenjammers,no,11,Drinks,,,,
Lift,no,11,Transport,,,,
Plan International,no,11,Charity,,,,
Raileasy,no,11,Travel,,,,
Rebate,no,11,Other,,,,
Shoryu Ramen,no,11,EatingOut,,,,
Skechers,no,11,Shopping,,,,
Skrill,no,11,Expenses,,,,
Tastecard,no,11,Leisure,,,,
The Piano Works,no,11,Drinks,EatingOut,,,
Twickenham Experience,no,11,Leisure,,,,
Verifone Taxi solutions,no,11,Transport,,,,
Yankee Candle,no,11,Shopping,,,,
Zavvi.com,no,11,Shopping,,,,
Bunga Bunga,no,9,Drinks,EatingOut,,,
Eventim UK,no,9,Leisure,,,,
Foxtons,no,9,Housing,,,,
Karen Millen,no,9,Shopping,,,,
Ministry of Sound,no,9,Leisure,,,,
Nisbets,no,9,Shopping,,,,
Shoreditch Grind,no,9,Coffee,Drinks,,,
Singer Tavern,no,9,Drinks,EatingOut,,,
Slater Menswear,no,9,Shopping,,,,
Suzuki Finance,no,9,Transport,,,,
The Arch Climbing Wall,no,9,Leisure,,,,
The Cricketers,no,9,Drinks,EatingOut,,,
The Wellington,no,9,Drinks,EatingOut,,,
The Woolpack,no,9,Drinks,EatingOut,,,
TicketWeb,no,9,Leisure,,,,
BoilerJuice,no,8,Housing,Bills,,,
Buses.co.uk,no,8,Travel,,,,
DHgate.com,no,8,Shopping,,,,
ExCeL London,no,8,Leisure,,,,
Hampton by Hilton,no,8,Travel,,,,
ITISON.COM,no,8,Leisure,,,,
Little Italy,no,8,EatingOut,,,,
Lululemon,no,8,Shopping,,,,
QuickBooks,no,8,Expenses,,,,
The Four Thieves,no,8,Drinks,EatingOut,,,
The White Swan,no,8,Drinks,EatingOut,,,
Tonkotsu,no,8,EatingOut,,,,
Under Armour,no,8,Shopping,,,,
Aspinal,no,7,Shopping,,,,
ATG Tickets,no,7,Leisure,,,,
Boulangerie Jade,no,7,EatingOut,,,,
ComCab,no,7,Transport,,,,
Farmdrop,no,7,Groceries,,,,
Freshii,no,7,Lunch,,,,
GitHub,no,7,Expenses,,,,
GrabTaxi,no,7,Transport,,,,
Piccolino,no,7,EatingOut,,,,
Ravello London,no,7,Coffee,,,,
RIB SHACK,no,7,EatingOut,,,,
Skillshare,no,7,Education,,,,
Sports World,no,7,Leisure,,,,
The Culpeper,no,7,Drinks,EatingOut,,,
THE MARQUIS,no,7,Drinks,EatingOut,,,
The Pasty Shop,no,7,Lunch,,,,
Vinoteca,no,7,EatingOut,Drinks,,,
Zen Internet,no,7,Expenses,,,,
Absurd Bird,no,6,EatingOut,,,,
Cojean,no,6,EatingOut,,,,
Cote Restaurants,no,6,EatingOut,,,,
Echst.net,no,6,Bills,,,,
Hammersmith Apollo,no,6,Leisure,,,,
Look Mum No Hands,no,6,Coffee,,,,
Neon Leisure Ltd,no,6,Drinks,,,,
Sewell Retail,no,6,PersonalCare,,Gym,,
The Barley Mow,no,6,Drinks,EatingOut,,,
The Loop London,no,6,Drinks,EatingOut,,,
The North Face,no,6,Shopping,,,,
United Taxis,no,6,Transport,,,,
W & G Foyle Ltd,no,6,Shopping,,,,
Anchor Bankside,no,5,Drinks,EatingOut,,,
AS NATURE INTENDED,no,5,Shopping,,,,
Bubble Tea,no,5,Drinks,,,,
Calendar Club,no,5,Shopping,,,,
Creativevents,no,5,Leisure,,,,
Dirty Burger,no,5,EatingOut,,,,
Euphorium Bakery,no,5,Groceries,,,,
Haringey Council,no,5,Bills,,,,
JTF Wholesale,no,5,Shopping,,,,
Michael Kors,no,5,Shopping,,,,
Penderel's Oak,no,5,Drinks,EatingOut,,,
SEARCYS,no,5,Shopping,,,,
Silvios,no,5,Lunch,,,,
The Anthologist,no,5,Drinks,EatingOut,,,
The Folly London,no,5,Drinks,EatingOut,,,
The Ginger Pig,no,5,Groceries,,,,
The Ten Bells,no,5,Drinks,EatingOut,,,
Trading Post,no,5,Drinks,EatingOut,,,
Two Chairmen,no,5,Drinks,EatingOut,,,
Wahaca Canary Wharf,no,5,EatingOut,,,,
Warehouse Fashions,no,5,Shopping,,,,
Western Union,no,5,Expenses,,,,
AA DRIVETECH,no,4,Expenses,,,,
All Star Lanes,no,4,Leisure,,,,
Brittany Ferries,no,4,Travel,,,,
Burton's Food Store,no,4,Groceries,,,,
CVS Pharmacy,no,4,PersonalCare,,,,
Laithwaites Wine,no,4,Drinks,Groceries,,,
Lillywhites,no,4,Shopping,,,,
Parcelforce Worldwide,no,4,Expenses,,,,
Pet Protect,no,4,Bills,,Pets,,
Pint Shop,no,4,Drinks,,,,
Rola Wala,no,4,EatingOut,,,,
The Telegraph,no,4,Bills,,,,
WOKIT,no,4,EatingOut,,,,
MetLife,no,3,Bills,,Insurance,,
The Cross Keys,no,3,Drinks,EatingOut,,,
The Queens Arms,no,3,Drinks,EatingOut,,,
12BET,no,,Expenses,Investments,Gambling,,
32Red,no,,Expenses,Investments,Gambling,,
365online.com,no,,Expenses,Investments,Gambling,,
99p Stores Ltd,no,,Groceries,,,,
Abbey Life Assurance Company,no,,Bills,,Insurance,,
Abel & Cole,yes,,Groceries,,,,
Abokado,no,,Lunch,,,,
Addison Lee,yes,,Transport,,,,
Admiral Insurance Company,yes,,Bills,,Insurance,,
Affect Energy,yes,,Bills,Housing,Utilities,,
Affinity Water,yes,,Bills,Housing,Utilities,,
Ageas Protect Limited,no,,Bills,,Insurance,,
Agent Provocateur,no,,Shopping,,,,
Agoda,no,,Travel,,,,
Agria Pet Insurance,no,,Bills,,Pets,,
AIG,yes,,Bills,,Insurance,,
All Saints,yes,,Shopping,,,,
ALLIANCE LEICESTER,yes,,Bills,,,,
allpay Limited,yes,,Bills,,,,
Anglian Water,yes,,Bills,Housing,Utilities,,
Ann Summers,yes,,Shopping,,,,
APCOA,no,,Transport,,,,
Applegreen,yes,,Transport,,,,
Aquascutum,no,,Shopping,,,,
ARAMARK,yes,,Leisure,,,,
Arriva Trains Wales,no,,Transport,,,,
Asda,yes,,Groceries,,,,
Asda Petrol,no,,Expenses,,,,
Audible,yes,,Shopping,,,,
Automobile Association,no,,Bills,,,,
Aviva,yes,,Bills,,Insurance,,
Avro Energy,yes,,Bills,Housing,Utilities,,
B & Q,yes,,Shopping,,,,
b&m retail,yes,,Shopping,,,,
Bakers,no,,Shopping,,,,
Bannatyne's Health Club,no,,PersonalCare,,Gym,,
Barburrito,yes,,Lunch,,,,
Barclaycard,yes,,Bills,,,,
Bargain Booze,yes,,Drinks,,,,
Bargain Buys,no,,Shopping,,,,
Barratts,no,,Housing,,,,
Be At One Group,no,,Drinks,,,,
Bella Italia,no,,EatingOut,,,,
Ben Sherman,yes,,Shopping,,,,
Ben's Cookies,yes,,Lunch,,,,
benugo,no,,Lunch,,,,
Bet365,yes,,Expenses,Investments,Gambling,,
Betfair,no,,Expenses,Investments,Gambling,,
Betfred.com,yes,,Expenses,Investments,Gambling,,
Better Energy,no,,Bills,Housing,Utilities,,
Big Easy,yes,,EatingOut,,,,
Bills Restaurant,no,,EatingOut,,,,
Birleys Sandwiches,yes,,Lunch,,,,
Birmingham Midshires,no,,Bills,,,,
Black Horse,yes,,Drinks,EatingOut,,,
Blacklock,no,,EatingOut,,,,
Bloom and Wild,yes,,Shopping,,,,
Blues Kitchen,yes,,EatingOut,,,,
BMI Regional,no,,Travel,,,,
Boden,yes,,Shopping,,,,
Boodles,no,,Shopping,,,,
Booker Limited,yes,,Groceries,,,,
Boots,yes,,PersonalCare,Shopping,,,
Boots Opticians,yes,,PersonalCare,,,,
Boylesports,yes,,Expenses,Investments,Gambling,,
BP,yes,,Transport,,,,
Bravissimo,yes,,Shopping,,,,
Brewers Fayre,yes,,Drinks,,,,
Bright Grey,no,,Bills,,Insurance,,
Brighter World Energy,no,,Bills,Housing,Utilities,,
Bristol Energy,no,,Bills,Housing,Utilities,,
Bristol Water,no,,Bills,Housing,Utilities,,
British Gas,yes,,Bills,Housing,Utilities,,
British Heart Foundation,no,,Charity,,,,
Brooklands Museum,no,,Leisure,,,,
BT Group,yes,,Bills,Housing,Utilities,,
Budgens,yes,,Groceries,,,,
Budget Insurance Services,no,,Bills,,Insurance,,
Bulb Energy,yes,,Bills,Housing,Utilities,,
Bupa,yes,,Bills,,Insurance,,
Busaba Eathai,yes,,EatingOut,,,,
Buyagift,no,,Shopping,,,,
Byron Hamburgers,no,,EatingOut,,,,
Cafe Brera,no,,Coffee,,,,
Cafe Rouge,yes,,EatingOut,,,,
Caffe Concerto,yes,,Coffee,,,,
Caffe Nero,yes,,Coffee,,,,
Camelot,yes,,Bills,,,,
Camper,yes,,Shopping,,,,
Cancer Research,yes,,Charity,,,,
Capital One,yes,,Bills,,,,
Card Factory,yes,,Shopping,,Stationary,,
Cardiff Energy,no,,Bills,Housing,Utilities,,
Cards Galore,yes,,Shopping,,Stationary,,
CARDTRONICS,yes,,Bills,,,,
Carluccio's,no,,EatingOut,,,,
cath kidston,yes,,Shopping,,,,
Cathay Pacific,no,,Travel,,,,
Caxton FX,yes,,Bills,,Insurance,,
CBS,yes,,Bills,,,,
Center Parcs,yes,,Leisure,,,,
Central England Co-operative,no,,Groceries,,,,
CeX,yes,,Shopping,Housing,,,
Charles Tyrwhitt,yes,,Shopping,,,,
Chelmsford Star Co-op,no,,Groceries,,,,
Chilangos,yes,,EatingOut,,,,
Chiltern Railways,no,,Transport,,,,
Chipotle,yes,,Lunch,,,,
Churchill,yes,,Bills,,Insurance,,
Cineworld Cinemas,yes,,Leisure,,,,
Clintons,no,,Shopping,,Stationary,,
Co-op Bank,yes,,Bills,,,,
Co-op Energy,yes,,Bills,Housing,Utilities,,
Co-operative Group,yes,,Groceries,,,,
Coast,yes,,Shopping,,,,
Coco di Mama,yes,,Lunch,,,,
Coles,yes,,Shopping,,,,
Company of Cooks,no,,EatingOut,,,,
Compassion,yes,,Charity,,,,
Concur Expense Management,no,,Bills,,,,
Costco Wholesale,yes,,Groceries,,,,
Costcutter,yes,,Groceries,,,,
Counter Solutions,yes,,Bills,,,,
Countrywide Home Loans,no,,Bills,,Loans,,
Coutts & Co,yes,,Bills,,,,
Creation Group,yes,,Bills,,,,
CRUSSH,yes,,Lunch,,,,
Curzon Cinemas,yes,,Leisure,,,,
Dairy Crest,no,,Groceries,,,,
Daligas,no,,Bills,Housing,Utilities,,
David Lloyd,yes,,PersonalCare,,Gym,,
Debenhams,yes,,Shopping,,,,
Dennis Publishing,no,,Shopping,,,,
Denplan,yes,,Bills,,Insurance,,
DFS,yes,,Shopping,,,,
Directline holidays,no,,Travel,,,,
Disney,yes,,Shopping,,,,
