merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Dixons,no,,Shopping,,,,
DOBBIES GARDEN,no,,Shopping,,,,
Dogs Trust,yes,,Charity,,,,
Driver and Vehicle Licensing Agency,yes,,Transport,,,,
Duchamp,no,,Shopping,,,,
Dune,yes,,Shopping,,,,
Dunelm Mill,no,,Shopping,,,,
Dyson,yes,,Shopping,,,,
E.H. Booth & Co,yes,,Groceries,,,,
E.On Energy,yes,,Bills,Housing,Utilities,,
East Coast Main Line Company,no,,Transport,,,,
East Midlands ElectFricity,no,,Bills,Housing,Utilities,East Midlands Electricity,
East Midlands Trains,yes,,Transport,,,,
East of England Co-op,yes,,Groceries,,,,
EasySaver Rewards,no,,Bills,,,,
Ebico Energy,no,,Bills,Housing,Utilities,,
Ebuyer,yes,,Shopping,,,,
Economist Group,no,,Shopping,,,,
Economy Energy,yes,,Bills,Housing,Utilities,,
Ecotricity,yes,,Bills,Housing,Utilities,,
EDF Energy,yes,,Bills,Housing,Utilities,,
EE,yes,,Bills,,,,
ELEPHANT.CO.UK,yes,,Bills,,Insurance,,
EMaC Limited,no,,Transport,,,,
Empire Cinema,no,,Leisure,,,,
Endsleigh,yes,,Bills,,Insurance,,
EnergySW,no,,Bills,Housing,Utilities,,
Engie Energy,no,,Bills,Housing,Utilities,,
Entice Energy,no,,Bills,Housing,Utilities,,
Epoch,yes,,Bills,,,,
Equifax,yes,,Bills,,,,
Ernest Jones,no,,Shopping,,,,
Evans,yes,,Shopping,,,,
Evans Cycles,yes,,Shopping,,,,
Everything Everywhere,no,,Bills,,,,
Extra Energy,yes,,Bills,,Insurance,,
Fairerpower,no,,Bills,Housing,Utilities,,
Family Equity Plan,yes,,Bills,,Insurance,,
Farmfoods,yes,,Groceries,,,,
Fat Face,no,,Shopping,,,,
Fenwick,yes,,Shopping,,,,
first direct,yes,,Bills,,,,
First Great Western,no,,Transport,,,,
First ScotRail,no,,Transport,,,,
First Utility,yes,,Bills,,Insurance,,
Fitness First,yes,,PersonalCare,,Gym,,
Five Guys,yes,,EatingOut,,,,
Flow Energy,yes,,Bills,Housing,Utilities,,
Flybe,yes,,Travel,,,,
Foot Asylum,yes,,Shopping,,,Footasylum,
Fortnum & Mason,yes,,Shopping,,,,
Foyles,yes,,Shopping,,,,
Frankie & Bennys,yes,,EatingOut,,,,
French Connection,yes,,Shopping,,,,
Friends Life,no,,Bills,,Insurance,,
Fuel Juice,yes,,Drinks,,,,
Furniture Village,no,,Shopping,,,,
Fusion Lifestyle,yes,,PersonalCare,,Gym,,
Future Energy,no,,Bills,Housing,Utilities,,
GB Energy,no,,Bills,Housing,Utilities,,
Genesis Cinema,yes,,Leisure,,,,
Gieves & Hawkes,no,,Shopping,,,,
giffgaff,yes,,Bills,,,,
GIRAFFE,no,,EatingOut,,,,
GMAC,no,,Education,,,,
GnERGY,no,,Bills,Housing,Utilities,,
Go Effortless,no,,,,,,
GO Outdoors,yes,,Leisure,,,,
GoCardless,yes,,Bills,,,,
GoDaddy.com,yes,,Expenses,,,,
Goldsmiths,yes,,Education,,,,
Good Energy,yes,,Bills,Housing,Utilities,,
Gourmet Burger Kitchen,yes,,EatingOut,,,,
Gourmet Burgers,no,,EatingOut,,,,
Graze,yes,,Groceries,,,,
Great Northern Railways,yes,,Transport,,,,
Great Western Railways,yes,,Transport,,,,
Greater Anglia,no,,Transport,,,,
Green Energy,no,,Bills,Housing,Utilities,,
Green Star Energy,no,,Bills,Housing,Utilities,,
Greenwich Leisure,yes,,PersonalCare,,Gym,,
Greggs,yes,,Lunch,,,,
H Samuel,yes,,Shopping,,,,
H3G,yes,,Bills,,,,
Hachette Partworks,yes,,Shopping,,Stationary,,
Halfords,yes,,Shopping,,,,
Halifax,yes,,Bills,,,,
Halifax Train Station,yes,,Travel,,,,
Hamleys,no,,Shopping,,,,
Harrods,yes,,Shopping,,,,
Harvester,yes,,EatingOut,,,,
Harvey Nichols,yes,,Shopping,,,,
Harveys Furniture,no,,Shopping,,,,
Hawes & Curtis,yes,,Shopping,,,,
Health Lottery,yes,,Charity,,,,
Heathrow Express,no,,Transport,,,,
Hello Fresh,yes,,Groceries,,,,
High and Mighty,no,,Shopping,,,,
Hilton Hotels,yes,,Travel,,,,
Hiscox,yes,,Bills,,Insurance,,
Hitachi Capital,yes,,Bills,,,,
HM Revenue,no,,Bills,,,,
Hmrc,yes,,Bills,,,,
hmv,yes,,Shopping,,,,
HobbyCraft,yes,,Shopping,,,,
Home Bargains,yes,,Shopping,,,,
Homebase,yes,,Shopping,,,,
HomeSense,no,,Shopping,,,,
HomeServe,yes,,Bills,,Insurance,,
Honest Burgers,no,,EatingOut,,,,
House of Fraser,yes,,Shopping,,,,
HSBC,yes,,Bills,,,,
HSS Hire,yes,,Expenses,,,,
Hudson Energy,yes,,Bills,Housing,Utilities,,
hungryhouse,yes,,EatingOut,,,,
Iceland,no,,Groceries,,,,
ID Mobile,yes,,Bills,,,,
Intu Property,yes,,Housing,,,,
Iresa,yes,,Bills,Housing,Utilities,,
iSupply Energy,yes,,Bills,Housing,Utilities,,
iSupply Gas,yes,,Bills,Housing,Utilities,,
itsu,yes,,Lunch,,,,
J D Wetherspoon,no,,Drinks,EatingOut,,,
Jacamo,yes,,Shopping,,,,
Jack Wills,no,,Shopping,,,,
Jackpotjoy.com,yes,,Expenses,Investments,Gambling,,
Jaeger,no,,Shopping,,,,
Jaguar Land Rover,yes,,Transport,,,,
JD Sports,yes,,Shopping,,,,
Jessops,yes,,Shopping,,,,
Jet2.com,yes,,Travel,,,,
Jewson,yes,,Expenses,,,,
Jigsaw,yes,,Shopping,,,,
John Lewis,no,,Shopping,,,,
Jones Bootmaker,no,,Shopping,,,,
JS Online Grocery,yes,,Groceries,,,,
JustGiving,yes,,Charity,,,,
Karhoo,no,,Transport,,,,
Kingdom of Sweets,no,,Shopping,,,,
Kings College London,no,,Education,,,,
Krispy Kreme Doughnut,no,,EatingOut,,,,
Krugers,no,,Groceries,,,,
Kuoni Travel,no,,Travel,,,,
Kwik Fit,yes,,Expenses,,,,
Kwik Save,no,,Groceries,,,,
LA Leisure,no,,PersonalCare,,Gym,,
Ladbrokes,yes,,Expenses,Investments,Gambling,,
Lakeland,yes,,Shopping,,,,
Las Iguanas,yes,,EatingOut,,,,
Laundrapp,yes,,Expenses,,,,
Leeds Building Society,no,,Bills,,,,
Lending Stream,yes,,Bills,,,,
LEON Restaurant,no,,Lunch,,,,
Lexus Financial Services,no,,Bills,Transport,,,
Leyland SDM,no,,Shopping,,,,
Link ATMs,no,,Cash,,,,
Linkdex,no,,Expenses,,,,
Links of London,no,,Shopping,,,,
Little Ondine,no,,PersonalCare,,,,
Live Nation,no,,Leisure,,,,
Liverpool Victoria,no,,Bills,,Insurance,,
LNK,no,,,,,,
Loake,no,,Shopping,,,,
Loco2Energy,no,,Bills,Housing,Utilities,,
Londis,yes,,Groceries,,,,
London Midland,yes,,Transport,,,,
London Overground,yes,,Transport,,,,
London South East,no,,Transport,,,,
London Underground,yes,,Transport,,,,
Longines,no,,Shopping,,,,
Lottoland,yes,,Expenses,Investments,Gambling,,
LoveFilm,no,,Leisure,,,,
Lyft,yes,,Transport,,,,
M6toll,no,,Transport,,,,
Magnet Kitchens,no,,Housing,,,,
Makro Centurion,no,,Groceries,,,,
Mamas & Papas,yes,,Shopping,,,,
Maplin Electronics,no,,Shopping,,,,
Marie Curie Cancer Charity,no,,Charity,,,,
Matalan,yes,,Shopping,,,,
Matches Fashion,no,,Shopping,,,,
mbna,yes,,Bills,,,,
Mcqueens Dairies,yes,,Groceries,,,,
Metrolink Trains,yes,,Transport,,,,
Michaels Stores,no,,Shopping,,,,
Millets,yes,,Shopping,,,,
Miss Selfridge,yes,,Shopping,,,,
Molton Brown,yes,,PersonalCare,,,,
Monarch Air,no,,Travel,,,,
Monsoon Accessorize,yes,,Shopping,,,,
Monzo Bank,yes,,Bills,,,,
Moo.com,yes,,Expenses,,Stationary,,
Moonpig,yes,,Shopping,,Stationary,,
Morrisons,yes,,Groceries,,,,
Morrisons Petrol Station,no,,Transport,,,,
Moss Bros,yes,,Shopping,,,,
Mothercare,yes,,Shopping,,,,
Mountain Warehouse,no,,Shopping,,,,
Murco Petroleum,no,,Transport,,,,
Myprotein,yes,,PersonalCare,,,,
Naked Wines,yes,,Groceries,,,,
Nando's,yes,,EatingOut,,,,
National Express Group,no,,Transport,,,,
National Lottery,no,,Expenses,Investments,Gambling,,
National Rail,no,,Transport,,,,
National Trust,yes,,Leisure,,,,
Nationwide,yes,,Bills,,Internal,,
Natwest,yes,,Bills,,Internal,,
NCP,yes,,Transport,,,,
Neals Yard,no,,Shopping,,,,
Nexus Venture Partners,no,,Investments,,,,
NFU Mutual,yes,,Bills,,Insurance,,
Nisa Local,yes,,Groceries,,,,
Northern Gas Networks,no,,Bills,Housing,Utilities,,
Northern Rail,no,,Transport,,,,
Norton,yes,,Expenses,,,,
NotOnTheHighStreet.com,yes,,Shopping,,,,
Now TV,no,,Leisure,,,,
npower,yes,,Bills,Housing,Utilities,,
Ns&I,yes,,Investments,,,,
NSPCC,yes,,Charity,,,,
Nuffield Health,yes,,PersonalCare,,,,
O'Neills Irish Pubs,no,,Drinks,,,,
O2,yes,,Bills,,,,
Oasis,yes,,Shopping,,,,
Ocado,yes,,Groceries,,,,
Octopus Energy,yes,,Bills,Housing,Utilities,,
ODEON,yes,,Leisure,,,,
Old Mutual,yes,,Investments,,,,
OLIVER BONAS,yes,,Shopping,,,,
Olympic Studios,no,,Leisure,,,,
Omega,yes,,Shopping,,,,
One Stop Shop,no,,Groceries,,,,
Optical Express,no,,PersonalCare,,,,
Orange Mobile,no,,Bills,,,,
Ovo Energy,yes,,Bills,Housing,Utilities,,
Oyster,yes,,Transport,,,,
Pact coffee,yes,,Coffee,,,,
Paperchase,yes,,Expenses,,Stationary,,
ParentPay,yes,,Education,,,,
Patisserie Valerie,yes,,Coffee,,,,
Patty And Bun,yes,,EatingOut,,,,
PayByPhone,yes,,Expenses,,,,
Paymentshield,yes,,Expenses,,,,
PCWorld.com,no,,Shopping,,,,
Peacock's Stores,yes,,Shopping,,,,
Perk Box,yes,,Shopping,,,,
Peterborough Energy,no,,Bills,Housing,Utilities,,
Pets at Home,yes,,Bills,,Pets,,
PFP Energy,yes,,Bills,Housing,Utilities,,
Pizza Express,yes,,EatingOut,,,,
Pizza Union,no,,EatingOut,,,,
Planet Organic,no,,Groceries,,,,
PlusNet,yes,,Bills,,,,
Pod Food,yes,,Lunch,,,,
Polo Factory Store,no,,Shopping,,,,
Post Office,yes,,Expenses,,,,
Poundland,yes,,Shopping,,,,
PoundStretcher,yes,,Shopping,,,,
Poundworld,yes,,Shopping,,,,
Powershop,yes,,Bills,Housing,Utilities,,
Premier Inn,no,,Travel,,,,
Premier Stores,yes,,Shopping,,,,
Prezzo,no,,EatingOut,,,,
Privilege Insurance,no,,Bills,,Insurance,,
Protect your bubble,yes,,Bills,,Insurance,,
Protein Haus,yes,,EatingOut,,,,
Prudential Financial,yes,,Bills,,Insurance,,
Psycle,no,,PersonalCare,,Gym,,
Pure,yes,,Lunch,,,,
Pure Gym,yes,,PersonalCare,,Gym,,
Purple Parking,no,,Transport,,,,
PWC,yes,,Expenses,,,,
QuickQuid,yes,,Expenses,,,,
Quidco,yes,,Shopping,,,,
Qvc Uk,yes,,Shopping,,,,
Rakuten,yes,,Shopping,,,,
RBS,yes,,Bills,,Internal,,
Rebtel,no,,Expenses,,,,
Red 5,no,,Shopping,,,,
Reiss,yes,,Shopping,,,,
RingGo,yes,,Transport,,,,
Ritazza,yes,,Coffee,,,,
Riverford Organic Vegetables,yes,,Groceries,,,,
Robert Dyas,yes,,Shopping,,,,
Robin Hood Energy,no,,Bills,Housing,Utilities,,
Rogers,yes,,Bills,Housing,Utilities,,
Royal Alliance Insurance,no,,Bills,,Insurance,,
RSPB,yes,,Charity,,,,
Russell & Bromley,yes,,Shopping,,,,
Ryman,yes,,Shopping,,Stationary,,
SafetyNet Credit,yes,,Expenses,,,,
Saffron,yes,,Shopping,,,,
Sainsbury's Energy,no,,Bills,Housing,Utilities,,
Sarah Raven,no,,Shopping,,,,
Savers,no,,PersonalCare,,,,
Savers Health & Beauty,yes,,PersonalCare,,,,
Schuh,yes,,Shopping,,,,
Scotmid,no,,Transport,,,,
ScotRail,yes,,Transport,,,,
Scottish Building Society,no,,Expenses,,,,
Scottish Equitable,yes,,Investments,,,,
Scottish Hydro,yes,,Bills,Housing,Utilities,,
Scottish Provident,yes,,Investments,,,,
Scottish Widows,yes,,Investments,,,,
ScottishPower,yes,,Bills,Housing,Utilities,,
Screwfix,yes,,Shopping,,,,
SE Gas,yes,,Bills,Housing,Utilities,,
Seatwave,no,,Leisure,,,,
Selfridges,no,,Shopping,,,,
Shake Shack,yes,,EatingOut,,,,
ShopTo.Net,no,,Shopping,,,,
Simply Be,yes,,Shopping,,,,
Skipton Building Society,no,,Bills,,,,
Sky Betting and Gaming,no,,Expenses,,Gambling,,
Slug And Lettuce,yes,,Drinks,,,,
Smyths Toys,yes,,Shopping,,,,
Snapfish,yes,,Expenses,,Stationary,,
Snappy Snaps,yes,,Expenses,,Stationary,,
SO Energy,no,,Bills,Housing,Utilities,,
Sofa.com,no,,Shopping,,,,
South West Trains,yes,,Transport,,,,
Southend Energy,no,,Bills,Housing,Utilities,,
Southern Co-op,no,,Bills,Housing,Utilities,,
Southern Electric,yes,,Bills,Housing,Utilities,,
Southern Rail,no,,Transport,,,,
Spark Energy,yes,,Bills,Housing,Utilities,,
Specsavers,yes,,PersonalCare,,,,
Sportingbet,yes,,Expenses,,Gambling,,
Sports Direct,yes,,Shopping,,,,
Squarespace,yes,,Expenses,,,,
SSE,yes,,Bills,Housing,Utilities,,
SSE Phone,yes,,Bills,Housing,Utilities,,
STEAMGAMES,yes,,Leisure,,Gaming,,
Stripe,yes,,Bills,,,,
Student Loans Company,no,,Education,,,,
Sunglass Hut,yes,,Shopping,,,,
SunLife,yes,,Bills,,Insurance,,
Supercell,no,,Leisure,,Gaming,,
Superdrug,yes,,PersonalCare,,,,
Superdry,yes,,Shopping,,,,
SWALEC,yes,,Bills,Housing,Utilities,,
Sweaty Betty,yes,,Shopping,,,,
Swinton Insurance,no,,Bills,,Insurance,,
T J Hughes,no,,Shopping,,,,
T-Mobile,yes,,Bills,,,,
T.G.I. Friday's,yes,,EatingOut,,,,
Talkmobile,yes,,Bills,,,,
TalkTalk Telecom Group,no,,Bills,Housing,Utilities,,
Tandem Bank,no,,Bills,,,,
Telegraph Media Group,no,,Bills,,,,
Tesco Express,yes,,Groceries,,,,
Tesco Mobile,yes,,Bills,,,,
Tesco Petrol,yes,,Transport,,,,
Thames Water,yes,,Bills,Housing,Utilities,,
The Chandos,no,,Coffee,,,,
The Clarence,no,,Drinks,,,,
The Economist Newspaper,no,,Leisure,,,,
The Energy Deal,no,,Bills,,,,
The Fragrance Shop,no,,Shopping,,,,
The Japanese Canteen,yes,,EatingOut,,,,
The Links,no,,Shopping,,,,
The Perfume Shop,yes,,Shopping,,,,
The Queens Head Hotel,no,,Drinks,,,,
The Range,yes,,Shopping,,,,
The Salvation Army,no,,Charity,,,,
The Savanna,no,,Shopping,,,,
The Second Bridge,no,,Drinks,,,,
Thomas Cook,yes,,Travel,,,,
Thomson Holidays,no,,Travel,,,,
Thorntons,yes,,Shopping,,,,
Thrifty Car,no,,Transport,,,,
Ticketmaster,yes,,Leisure,,,,
Timpson,yes,,Expenses,,,,
TK Maxx,yes,,Shopping,,,,
Tombola.co.uk,yes,,Expenses,,Gambling,,
Toolstation,yes,,Shopping,,,,
Topps Tiles,yes,,Shopping,,,,
Tortilla,no,,Lunch,,,,
Tossed,yes,,Lunch,,,,
Toto Energy,yes,,Bills,Housing,Utilities,,
Transport for London,yes,,Transport,,,,
Travelex,yes,,Bills,,,,
Truphone,no,,Bills,,,,
Turnbull & Asser,no,,Shopping,,,,
TV Licensing,yes,,Bills,,,,
UK Power Networks,no,,Bills,Housing,Utilities,,
Upper Crust,no,,Lunch,,,,
Urban Outfitters,yes,,Shopping,,,,
USC,yes,,Shopping,,,,
Utilita,yes,,Bills,Housing,Utilities,,
Utility Warehouse,yes,,Bills,Housing,Utilities,,
Very,no,,Shopping,,,,
Virgin Media,yes,,Bills,,,,
Virgin Mobile,no,,Bills,,,,
Virgin Money,yes,,Bills,,,,
Virgin Trains,no,,Transport,,,,
VISION EXPRESS,yes,,PersonalCare,,,,
Vital Ingredient,yes,,Lunch,,,,
WageDayAdvance,no,,Expenses,,,,
Waitrose,yes,,Groceries,,,,
Wales & West Utilities,no,,Bills,Housing,Utilities,,
Wallis,yes,,Shopping,,,,
Wasabi,no,,Lunch,,,,
Watches of Switzerland,no,,Shopping,,,,
Waterstone's,no,,Shopping,,,,
Welcome Break,no,,Transport,,,,
Wendy's,no,,EatingOut,,,,
Wessex Water,no,,Bills,Housing,Utilities,,
West Coast Trains,no,,Transport,,,,
Which,yes,,Bills,,,,
Whistlestop,yes,,Groceries,,,,
White Rose Energy,no,,Bills,Housing,Utilities,,
Whittard of Chelsea,no,,Shopping,,,,
Whole Foods,no,,Groceries,,,,
WHSmith,yes,,Shopping,,,,
Wickes,yes,,Shopping,,,,
Wiggle.com,yes,,Shopping,,,,
Wilko,yes,,Shopping,,,,
Wirral Council,no,,Bills,,,,
Wonga,yes,,Expenses,,,,
Work and Child Tax Credit,no,,Other,,,,
World Duty Free,yes,,Shopping,,,,
World Vision,yes,,Charity,,,,
Wowcher,yes,,Shopping,,,,
Yorkshire Building Society,no,,Bills,,,,
Yoyo Wallet,yes,,Bills,,,,
Zipcar,yes,,Transport,,,,
Zizzi,yes,,EatingOut,,,,
Zog Energy,yes,,Bills,Housing,Utilities,,
Zopa,yes,,Bills,,,,
